Pr1,tofu,flaxseed laddu - 70 mcg,iron woman power bar,whole wheat christmas cake,oatsseedcracker,assortedsouthsnacks,masala vada,blackstrap molasses,date and walnut cookies,date sugar,muesli loaf,assorted sweets south,flaxb12cracker,sub tofu,cashew cookies,peanut cookies,gluten free caramel cake jar,karanji,millet and almond bread,assorted sweets north,gajar halwa bites,poha chivda,soy and almond curds,sandwich bread,jalapeno sourdough bread,banana and nut muffins - 6 muffins,assorted karanji,maddur vada,masala cookies,dark chocolate and orange granola,ragi murukku,cashew butter,kachori,masala peanuts,chocolate and peanut brownies,multiseed bun small,banana and almond granola,gluten free pomegranate cake,kodubale,almond dark chocolate cake jar,multiseed bun big,panir rose gulkhand laddu,ellu kharjura,jar,sample diwali sweets,sub sesame laddu,sesame laddu,mathri,date paste,assorted christmas cookies 4 flavours,cashewpakoda,kaju pista butter cookies,almond butter cookies,gluten- free marbled icing cake,assorted butter cookies,chocolate and vanilla marbled cake,potato crisps,peanut butter,dry fruit laddu,oats christmas cake,pumpkin seed barfi,flaxseed laddu - 1000 mcg,chocolate brownie power bar,shenga obbattu - pack of 10,peanut butter power bar,tomatomurukku,kaju pista barfi,assorted sweets traditional,hazelnut chocolate icing cake,almond butter,bhakervadi,spiced karanji,gluten free pomegranate cake jar,gluten free pineapple cake,fresh lemon coconut pops,nutsandseedmixspicysweet,sub soy and almond curds,garlic and chilli cheese cashew,chocolate spread cashew,kaju elaichi barfi,dry fruit and nut granola,gluten free hazelnut chocolate cake,bestseller box,olive sourdough bread,north assorted diwali box,north assorted diwali snacks,saltedcashews,chocolate ragi laddu,chocolate spread almond,murukku,badam milk mithai,dry fruit butter cookie,chocolate karanji,gluten free pineapple cake jar,gingerbread thins,jeera pepper cheese almond,chocolate truffles,citrus truffles,roastedpeanutssweet,lemon and coconut cookie bars,dark chocolate and nut cookies,pro lactation power bar,regular cheese cashew,ulundumurukku,caramel spread,chocolate icing cake,garlic and chilli cheese almond,milaguvadai,pita crunchies,chocolate paan,christmas gift box - 11 varieties,pineapple icing cake,yellu urundai,gluten-free caramel cake
iron woman power bar,1.282051282051282,32.05128205128205,0.0,2.564102564102564,1.282051282051282,0.0,0.0,1.282051282051282,0.0,2.564102564102564,0.0,1.282051282051282,2.564102564102564,0.0,3.8461538461538463,1.282051282051282,0.0,10.256410256410255,0.0,1.282051282051282,1.282051282051282,0.0,1.282051282051282,0.0,0.0,1.282051282051282,1.282051282051282,0.0,0.0,0.0,0.0,1.282051282051282,0.0,0.0,1.282051282051282,0.0,0.0,0.0,2.564102564102564,1.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,1.282051282051282,2.564102564102564,0.0,1.282051282051282,0.0,0.0,0.0,0.0,0.0,2.564102564102564,0.0,0.0,2.564102564102564,2.564102564102564,0.0,1.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564102564102564,0.0,1.282051282051282,1.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282051282051282,0.0,1.282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muesli loaf,0.0,13.333333333333334,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,6.666666666666667,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whole wheat christmas cake,4.444444444444445,8.88888888888889,4.444444444444445,0.0,0.0,6.666666666666667,4.444444444444445,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,4.444444444444445,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,2.2222222222222223,0.0,0.0,2.2222222222222223,4.444444444444445,4.444444444444445,0.0,2.2222222222222223,2.2222222222222223,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,2.2222222222222223,0.0,0.0,0.0,4.444444444444445,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,2.2222222222222223,4.444444444444445,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444445,0.0,0.0,2.2222222222222223
jalapeno sourdough bread,5.555555555555555,11.11111111111111,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,5.555555555555555,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,5.555555555555555,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
cashewpakoda,9.090909090909092,0.0,0.0,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,9.090909090909092,9.090909090909092,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karanji,0.0,9.090909090909092,4.545454545454546,0.0,4.545454545454546,13.636363636363635,0.0,0.0,13.636363636363635,0.0,0.0,4.545454545454546,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,9.090909090909092,9.090909090909092,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flaxb12cracker,0.0,12.5,8.333333333333332,4.166666666666666,4.166666666666666,0.0,0.0,4.166666666666666,8.333333333333332,4.166666666666666,4.166666666666666,0.0,0.0,4.166666666666666,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,4.166666666666666,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry fruit laddu,0.0,29.629629629629626,7.4074074074074066,7.4074074074074066,3.7037037037037033,3.7037037037037033,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masala peanuts,8.333333333333332,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,16.666666666666664,0.0,0.0,0.0,0.0,4.166666666666666,0.0,12.5,4.166666666666666,0.0,0.0,0.0,4.166666666666666,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dark chocolate and orange granola,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
