Product 1,flaxseed laddu - 70 mcg,assortedsouthsnacks,tofu,iron woman power bar,gajar halwa bites,flaxb12cracker,millet and almond bread,assorted karanji,chocolate and peanut brownies,soy and almond curds,maddur vada,masala vada,whole wheat christmas cake,sandwich bread,murukku,dry fruit laddu,muesli loaf,oatsseedcracker,masala peanuts,poha chivda,panir rose gulkhand laddu,peanut cookies,karanji,sesame laddu,date and walnut cookies,assorted sweets traditional,multiseed bun small,potato thick crisps,shenga obbattu - pack of 10,multiseed bun big,peanut butter,chocolate brownie power bar,kodubale,fresh lemon coconut pops,masala cookies,jalapeno sourdough bread,almond butter,jar,nutsandseedmixspicysweet,nipattu,ragi murukku,potato crisps,dark chocolate and orange granola,pro lactation power bar,kaju pista barfi,sub soy and almond curds,flaxseed laddu - 1000 mcg,bhakervadi,date sugar,yellu urundai,almond dark chocolate cake jar,sub tofu,cashewpakoda,assorted sweets exotic,sub flaxseed laddu - 1000 mcg,peanut butter power bar,mathri,kachori,date paste,spiced karanji,badam milk mithai,assortednorthsnacks,chocolate cake,blackstrap molasses,kaju pista butter cookies,oats christmas cake,pomegranate cake jar,cashew cookies,caramel cake jar,assorted snacks festive gift box,olive sourdough bread,mixed millet mixture,dry fruit and nut granola,garlic and chilli cheese cashew,assorted sweets north,chocolate and vanilla marbled cake,assorted milk cashew s,ellu kharjura,kaju elaichi barfi,rose milk almond,soft cookies,tomatomurukku,assorted sweets south,almond butter cookies,pineapple cake,chocolate spread almond,chocolate brownie hearts,oats sourdough bread,citrus truffles,elaichi milk cashew,caramel spread,masoor dal and peanut bread,pomegranate cake,assorted diwali cookies,rose milk cashew,pumpkin seed barfi,roastedpeanutssweet,banana and almond granola,besan laddu,assorted christmas cookies 4 flavours,chocolate spread cashew,jeera pepper cheese cashew,seedai,cashew butter,mango cake jar,chocolate truffles,nut butter bundle,milaguvadai,ulundumurukku,banana and nut muffins - 6 muffins,nutsandseedmixspicyswesaltet-low,assorted butter cookies,north assorted diwali box,caramel blondie power bar,dark chocolate and nut cookies,marbled icing cake,chocolate icing cake,lemon and coconut cookie bars,gingerbread thins,tomato cheese cashew,chocolate karanji,whole wheat payasam balls,chocolate ragi laddu,hazelnut chocolate cake,pineapple icing cake,caramel blondie hearts,banana walnut cake with caramel icing,pineapple cake jar,spicycashews,saltedcashews,pita crunchies,kaju sweet bites,caramel milk almond,garlic tear and share bread,sub 6 flaxseed laddu - cardamom / 1000 mcg,flax crackers,gathiyasticks,regular cheese cashew,almond vanilla cookie,north assorted diwali snacks,caramel cake,verki puri,caramel icing cake,beetroot halwa bites,assortedkidssnacks,kara mixture,warming ginger spiced pops,braided chocolate loaf,baked modak,christmas gift box - 11 varieties,dry fruit butter cookie,caramel milk cashew,kasuri methi naan,ajwain sev,thenga mithai,christmas cake mix oats,garlic naan,christmas taster pack - 11 varieties,chocolate milk cashew,bestseller box,chakkali,diwali peanut chocolate cookie,chocolate paan,garlic and chilli cheese almond,jeera pepper cheese almond,kara sev,coloured mathrikids,hazelnut chocolate icing cake,regular cheese almond,whole wheat mango cake,heart flower icing cake,mango cake,pomegranate icing cake,"cake jar bundle (pomegranate, caramel, pineapple)",christmas cake mix whole wheat,sample box,sub flaxseed laddu - 70 mcg,tomato cheese almond,whole wheat mango cake jar
almond dark chocolate cake jar,18.91891891891892,5.405405405405405,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,5.405405405405405,2.7027027027027026,0.0,0.0,0.0,2.7027027027027026,2.7027027027027026,0.0,0.0,5.405405405405405,0.0,0.0,0.0,5.405405405405405,0.0,2.7027027027027026,0.0,0.0,2.7027027027027026,2.7027027027027026,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,2.7027027027027026,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cashewpakoda,0.0,2.2222222222222223,0.0,4.444444444444445,0.0,0.0,0.0,0.0,0.0,4.444444444444445,2.2222222222222223,13.333333333333334,2.2222222222222223,0.0,0.0,0.0,2.2222222222222223,8.88888888888889,8.88888888888889,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,13.333333333333334,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,2.2222222222222223,8.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flaxseed laddu - 70 mcg,2.967359050445104,4.747774480712167,2.3738872403560833,14.836795252225517,0.2967359050445104,3.5608308605341246,1.1869436201780417,0.2967359050445104,2.0771513353115725,0.5934718100890208,0.5934718100890208,2.6706231454005933,0.2967359050445104,1.1869436201780417,1.1869436201780417,2.6706231454005933,0.5934718100890208,5.637982195845697,0.5934718100890208,2.0771513353115725,1.7804154302670623,1.1869436201780417,1.1869436201780417,2.3738872403560833,1.1869436201780417,0.2967359050445104,0.8902077151335311,0.0,0.5934718100890208,0.5934718100890208,0.8902077151335311,0.2967359050445104,1.483679525222552,0.0,0.0,0.2967359050445104,0.5934718100890208,1.7804154302670623,1.7804154302670623,0.0,1.7804154302670623,0.2967359050445104,0.2967359050445104,0.2967359050445104,0.2967359050445104,0.0,1.483679525222552,0.2967359050445104,0.5934718100890208,2.0771513353115725,0.5934718100890208,0.5934718100890208,0.2967359050445104,0.5934718100890208,0.0,1.483679525222552,0.2967359050445104,0.0,0.2967359050445104,0.5934718100890208,0.0,0.8902077151335311,0.2967359050445104,0.0,0.2967359050445104,0.2967359050445104,0.0,1.1869436201780417,0.2967359050445104,0.8902077151335311,0.2967359050445104,1.1869436201780417,0.2967359050445104,0.0,0.2967359050445104,0.2967359050445104,0.0,0.0,0.2967359050445104,0.0,0.0,0.0,0.8902077151335311,0.0,0.2967359050445104,0.2967359050445104,0.2967359050445104,0.0,0.0,0.0,0.0,0.0,0.0,0.5934718100890208,0.0,0.5934718100890208,0.0,0.0,0.0,0.2967359050445104,0.2967359050445104,0.0,0.0,0.0,0.2967359050445104,0.0,0.5934718100890208,0.2967359050445104,0.5934718100890208,0.5934718100890208,0.0,0.5934718100890208,0.0,0.5934718100890208,0.0,0.2967359050445104,0.2967359050445104,0.5934718100890208,0.0,0.2967359050445104,0.0,0.0,0.8902077151335311,0.2967359050445104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967359050445104,0.0,0.0,0.0,0.0,0.5934718100890208,0.0,0.2967359050445104,0.8902077151335311,0.0,0.0,0.2967359050445104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967359050445104,0.0,0.0,0.5934718100890208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967359050445104
flaxb12cracker,25.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,1.6666666666666667,3.3333333333333335,3.3333333333333335,0.0,1.6666666666666667,5.0,1.6666666666666667,0.0,0.0,5.0,0.0,3.3333333333333335,0.0,1.6666666666666667,0.0,1.6666666666666667,0.0,6.666666666666667,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yellu urundai,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assorted sweets exotic,13.793103448275861,34.48275862068966,0.0,3.4482758620689653,3.4482758620689653,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,3.4482758620689653,6.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.896551724137931,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalapeno sourdough bread,2.7027027027027026,2.7027027027027026,5.405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,8.108108108108109,0.0,2.7027027027027026,0.0,8.108108108108109,0.0,0.0,16.216216216216218,0.0,0.0,5.405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,8.108108108108109,2.7027027027027026,0.0,0.0,2.7027027027027026,5.405405405405405,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry fruit and nut granola,13.333333333333334,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,13.333333333333334,6.666666666666667,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nutsandseedmixspicysweet,17.24137931034483,6.896551724137931,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.896551724137931,3.4482758620689653,0.0,0.0,0.0,0.0,10.344827586206897,0.0,3.4482758620689653,0.0,6.896551724137931,0.0,0.0,0.0,3.4482758620689653,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assorted snacks festive gift box,13.333333333333334,13.333333333333334,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
